,Localidad,Fecha,Cantidad
592,ANCASH,2019-10-11,7711.43
593,ANCASH,2019-10-12,14513.63
594,ANCASH,2019-10-14,11393.99
595,ANCASH,2019-10-15,12808.73
596,ANCASH,2019-10-16,10628.48
597,ANCASH,2019-10-17,7944.66
598,ANCASH,2019-10-18,9904.27
599,ANCASH,2019-10-19,11063.53
600,ANCASH,2019-10-21,10513.91
601,ANCASH,2019-10-22,12504.14
602,ANCASH,2019-10-23,8536.87
603,ANCASH,2019-10-24,11872.98
604,ANCASH,2019-10-25,13259.42
605,ANCASH,2019-10-26,11953.78
606,ANCASH,2019-10-28,11163.26
607,ANCASH,2019-10-29,11632.03
608,ANCASH,2019-10-30,11335.24
609,ANCASH,2019-10-31,12136.02
610,ANCASH,2019-11-02,7304.51
611,ANCASH,2019-11-04,11257.88
612,ANCASH,2019-11-05,14506.17
613,ANCASH,2019-11-06,12309.98
614,ANCASH,2019-11-07,11167.94
615,ANCASH,2019-11-08,11224.69
616,ANCASH,2019-11-09,13592.45
617,ANCASH,2019-11-11,12336.18
618,ANCASH,2019-11-12,10297.39
619,ANCASH,2019-11-13,9030.55
620,ANCASH,2019-11-14,9715.77
621,ANCASH,2019-11-15,9558.93
622,ANCASH,2019-11-16,11327.39
623,ANCASH,2019-11-18,7965.32
624,ANCASH,2019-11-19,7564.13
625,ANCASH,2019-11-20,14155.3
626,ANCASH,2019-11-21,11093.52
627,ANCASH,2019-11-22,10238.5
628,ANCASH,2019-11-23,11684.71
629,ANCASH,2019-11-25,11082.41
630,ANCASH,2019-11-26,8473.06
631,ANCASH,2019-11-27,8635.4
632,ANCASH,2019-11-28,7772.05
633,ANCASH,2019-11-29,6645.54
634,ANCASH,2019-11-30,11862.34
635,ANCASH,2019-12-02,10473.05
636,ANCASH,2019-12-03,10045.22
637,ANCASH,2019-12-04,8499.4
638,ANCASH,2019-12-05,9610.21
639,ANCASH,2019-12-06,11103.79
640,ANCASH,2019-12-07,14166.57
641,ANCASH,2019-12-09,10441.58
642,ANCASH,2019-12-10,10702.92
643,ANCASH,2019-12-11,13219.01
644,ANCASH,2019-12-12,10819.8
645,ANCASH,2019-12-13,11545.39
646,ANCASH,2019-12-14,11800.36
647,ANCASH,2019-12-16,12247.46
648,ANCASH,2019-12-17,9050.62
649,ANCASH,2019-12-18,13282.58
